brand_name,product_name,price_usd,product_description,ingredients,approval_rating,review_count
SOME BY MI,SOME BY MI - Retinol Intense Advanced Triple Action Eye Cream,US$ 17.10,"Soften fine lines, remove dark circles and reduce signs of aging with this powerful eye cream infused with retinol to promote skin cell turnover, niacinamide for brightening benefits as well as hyaluronic acid and panthenol for deep hydration. For optimal effects, apply onto the inner corners of eyes before spreading outwards.","Water, Glycerin, Caprylic/Capric Triglyceride, Dimethicone, Polysorbate 60, Niacinamide, Methylpropanediol, Cetyl Alcohol, Polymethylsilsesquioxane, Centella Asiatica Extract, Dioscorea Japonica Root Extract, Piper Methysticum Leaf/Root/Stem Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Panax Ginseng Berry Extract, Artemisia Capillaris Extract, Ganoderma Lucidum (Mushroom) Stem Extract, Chlorella Vulgaris Extract, Glycine Soja (Soybean) Seed Extract, Nymphaea Alba Flower Extract, Elaeis Guineensis (Palm) Oil, Hydrogenated Lecithin, Sodium Hyaluronate, 1,2-Hexanediol, Dimethicone/Vinyl Dimethicone Crosspolymer, Panthenol, BHT, Cyclopentasiloxane, Steareth-21, PEG-10 Dimethicone/Vinyl Dimethicone Crosspolymer, Polyacrylamide, Steareth-2, Isohexadecane, Carbomer, Hydroxyacetophenone, C13-14 Isoparaffin, Tromethamine, Palmitic Acid, Polyquaternium-51, Stearic Acid, Polysorbate 20, Retinol(0.1%), Ethylhexylglycerin, Glyceryl Caprylate, Tocopheryl Acetate, Polyglyceryl-10 Myristate, PEG-30 Dipolyhydroxystearate, Hydroxyethylcellulose, Glycosyl Trehalose, Beta-Glucan, Glyceryl Polymethacrylate, Laureth-7, Butylene Glycol, Disodium EDTA, Hydrogenated Starch Hydrolysate, Adenosine, Raffinose, Dipotassium Glycyrrhizate, Lecithin, Tocopherol, Pentylene Glycol, BHA, Myristic Acid, Tranexamic Acid, Propanediol, Dipropylene Glycol, Disodium Phosphate, Caprylyl Glycol, Collagen, Madecassic Acid, Biosaccharide Gum-1, Asiaticoside, Sodium Palmitoyl Proline, Leuconostoc/Radish Root Ferment Filtrate, Asiatic Acid, Glutathione, Retinal, Madecassoside, Sodium Phosphate, Ferulic Acid, Acetyl Hexapeptide-8, Ammonium Acryloyldimethyltaurate/VP Copolymer, Tetrahydropiperine, Phloretin, Arginine, Fragrance",95.20%,"1,698"
SKIN 1004,SKIN 1004 - Madagascar Centella Tone Brightening Capsule Ampoule,US$ 10.50,This lightweight and watery dual-function ampoule moisturizes and brightens skin. The patented ingredient MadeWhite™ contains cica-derived madecassoside and niacinamide for brightening and soothing properties. It’s boosted with 2% tranexamic acid and Vitamin C for synergic brightening effects.,"Water(Aqua), Butylene Glycol, Niacinamide, Glycerin, Tranexamic Acid, 1,2-Hexanediol, Betaine, Centella Asiatica Extract, Zea Mays (Corn) Starch, Xanthan Gum, Microcrystalline Cellulose, Mannitol, Panthenol, Pentylene Glycol, Ethylhexylglycerin, Hydroxyethylcellulose, Madecassoside, Acrylates/ C10-30 Alkyl Acrylate Crosspolymer, Arginine, Hydrogenated Lecithin, Xylitylglucoside, Anhydroxylitol, Xylitol, Glucose, 3-O-Ethyl Ascorbic Acid, Lactobacillus Ferment",98.10%,582
VT,VT - Reedle Shot 100 2 Step Mask,US$ 3.00,"Improve skin texture and shrink enlarged pores with this two-step mask pack. The first step contains VT’s Reedle Shot 100, a skin treatment formulated with CICAHYALON™ for hydrating and soothing care. It’s powered by Cica Reedle™, an innovative skin care technology that imitates microneedling treatment to deliver low-molecular active ingredients deep into skin. The second step of mask includes the Reedle Shot Balance Mask that locks in moisture on skin and enhances the effectiveness of the Reedle Shot 100 ampoule. Suitable for all skin types including sensitive skin.","[Step 1] Water, Dipropylene Glycol, Glycerin, Niacinamide, Butylene Glycol, Macadamia Ternifolia Seed Oil, 1,2-Hexanediol, Ethylhexyl Palmitate, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, Silica, Glycereth-26, Ethylhexylglycerin, Caprylyl Glycol, Adenosine, Sodium Polyacrylate, Sodium Hyaluronate, Centella Asiatica Extract, Caprylyl/Capryl Glucoside, Sorbitan Oleate, Xanthan Gum, Propolis Extract, Asiaticoside, Madecassoside, Madecassic Acid, Asiatic Acid, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Threonine, Proline, Valine, Isoleucine, Histidine, Methionine, Cysteine [Step 2] Water, Butylene Glycol, Glycerin, Niacinamide, Isopentyldiol, Betaine, Dipropylene Glycol, 1,2-Hexanediol, Hydroxyacetophenone, Sodium Polyacrylate, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Ammonium Acryloyldimethyltaurate/VP Copolymer, Olea Europaea (Olive) Fruit Oil, Allantoin, Butyrospermum Parkii (Shea) Butter, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Squalane, Ethylhexylglycerin, Xanthan Gum, Adenosine, Disodium EDTA, Sorbitan Isostearate, Ceramide NP, Cholesterol, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Phytosphingosine, Centella Asiatica Extract, Oleic Acid, Stearic Acid, Hydrolyzed Collagen, Silica, Sodium Hyaluronate, Tocopherol, Brassica Campestris (Rapeseed) Sterols, Asiaticoside, Asiatic Acid, Madecassic Acid, Madecassoside, Propolis Extract",97.20%,28
Anua,Anua - Heartleaf 77 Clear Pad,US$ 22.40,"Drenched with Anua’s Heartleaf 77% Soothing Toner, these toner pads deliver ample moisture and soothe skin irritation. They contain a blend of plant-based extracts to control sebum production and tighten enlarged pores. The toner pads come with an embossed side to slough away dead skin cells and impurities for soft and smooth skin.","Houttuynia Cordata Extract (77%), Water, Gluconolactone, Propanediol, Tromethamine, Butylene Glycol, 1,2-Hexanediol, Betaine, Ammonium Acryloyldimethyltaurate/VP Copolymer, Ulmus Davidiana Root Extract, Pueraria Lobata Root Extract, Pinus Palustris Leaf Extract, Oenothera Biennis (Evening Primrose) Flower Extract, Camellia Sinensis Leaf Extract, Coix Lacryma-Jobi Ma-yuen Seed Extract, Portulaca Oleracea Extract, Centella Asiatica Extract, Madecassoside, Asiatic Acid, Asiaticoside, Madecassic Acid, Sodium Phytate",95.70%,"4,025"
celimax,celimax - The Real Noni Acne Bubble Cleanser,US$ 16.50,"Thoroughly rid skin of impurities and excess sebum without stripping it of moisture with this pH-balanced foam cleanser. Noni extract and ACZERO Complex in the formula provide brightening and soothing effects, while BHA gently exfoliates away dead skin cells for soft and supple skin. The hypoallergenic formula is suitable for all skin types including sensitive and acne-prone skin.","Water, Cocamidopropyl Betaine, Butylene Glycol, Glycerin, Potassium Cocoyl Glycinate, Lauramide DEA, Sodium Chloride, Disodium Cocoamphodiacetate, Sodium Cocoyl Glutamate, Panthenol, 1,2-Hexanediol, Methylpropanediol, Morinda Citrifolia Extract(0.3%), Allantoin, Salicylic Acid, Caprylyl Glycol, Sodium Benzoate, Dipotassium Glycyrrhizate, Rosmarinus Officinalis (Rosemary) Leaf Oil, Salix Alba (Willow) Bark Extract, Camellia Sinensis Leaf Extract, Centella Asiatica Leaf Extract, Cladosiphon Okamuranus Extract, Decyl Glucoside, Buteth-3, Piroctone Olamine, Disodium EDTA, Citric Acid, Melia Azadirachta Leaf Extract, Coffea Arabica (Coffee) Seed Extract, Sodium Benzotriazolyl Butylphenol Sulfonate, Melia Azadirachta Flower Extract, Prunus Mume Fruit Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Scutellaria Baicalensis Root Extract, Citrus Aurantium Bergamia (Bergamot) Leaf Extract, Pinus Densiflora Leaf Extract, Tributyl Citrate, Theobroma Cacao (Cocoa) Extract, Dextrin, Pinus Palustris Leaf Extract, Ulmus Davidiana Root Extract, Oenothera Biennis (Evening Primrose) Extract, Pueraria Lobata Root Extract",97.50%,78
COSRX,COSRX - AHA/BHA Clarifying Treatment Toner,US$ 14.00,"Spray bottle design makes it easy to add this toner to your skin regimen or to refresh your face whenever you like. Enriched with 10% pyrus malus or apple water, the water provides gentle exfoliation to get rid of dead surface skin cells and excess oil while prepping your skin to receive the nourishment and treatment from your other skin care products.","Water, Salix Alba (Willow) Bark Water, Pyrus Malus (Apple) Fruit Water, Butylene Glycol, 1,2-Hexanediol, Sodium Lactate, Glycolic Acid, Betaine Salicylate, Allantoin, Panthenol, Ethyl Hexanedio",96.50%,"11,095"
I'm from,I'm from - Rice Cream,US$ 21.00,"Formulated with rice bran ceramide, I’m from’s simple but powerful vegan moisturizer effectively controls sebum, locks in moisture and strengthens skin, producing a revitalized glow. Comes in a silky cream texture that melts instantly into skin.","Oryza Sativa (Rice) Bran Water (41%), Water, Glycerin, Butylene Glycol, Cetyl Ethylhexanoate, Pentaerythrityl Tetraethylhexanoate, Hydrogenated Polyisobutene, Synthetic Beeswax, Butyrospermum Parkii (Shea) Butter, Polyglyceryl-3 Methylglucose Distearate, Vinyl Dimethicone, Pentylene Glycol, 1,2-Hexanediol, Behenyl Alcohol, Glyceryl Stearate, Ammonium Acryloyldimethyltaurate/VP Copolymer, Bisabolol, Cetearyl Olivate, Panthenol, Sorbitan Olivate, Caprylyl Glycol, Ethylhexylglycerin, Xanthan Gum, Adenosine, Trisodium Ethylenediamine Disuccinate, Sodium Hyaluronate, Ceramide NP, Hydrolyzed Hyaluronic Acid, Oryza Sativa (Rice) Bran Oil, Tocopherol, Phytosphingosine, Caprylic/Capric Triglyceride, Hydrogenated Lecithin",96.80%,"1,487"
Purito SEOUL,Purito SEOUL - Wonder Releaf Centella Cream Unscented,US$ 14.70,"Formerly the Centella Unscented Recovery Cream, this newly repackaged version of PURITO’s beloved moisturizer is anchored in K-Beauty staples like cica, squalane and ceramide NP for calming, barrier-supporting and moisturizing care. The formula is fragrance-free.","Water,Caprylic/Capric Triglyceride,Macadamia Ternifolia Seed Oil,Squalane,Butylene Glycol,Cetearyl Alcohol,Glycerin,Centella Asiatica Extract,Niacinamide,1,2- Hexanediol,Potassium Cetyl Phosphate,Behenic Acid,Betaine,Tromethamine,Butyrospermum Parkii (Shea) Butter,Hydrogenated Lecithin,Palmitic Acid,Stearic Acid,Caprylyl Glycol,Candida Bombicola/Glucose/Methyl Rapeseedate Ferment,Carbomer,Xanthan Gum,Hydroxyethylcellulose,Oryza Sativa (Rice) Germ Oil,Cocos Nucifera (Coconut) Oil,Sodium Carbomer,Adenosine,Asiaticoside,Asiatic Acid,Phytosphingosine,Ceramide NP,Madecassic Acid,Myristic Acid,Arachidic Acid,Tremella Fuciformis (Mushroom) Extract,Perilla Ocymoides Seed Extract,Sodium Hyaluronate,Beta-Glucan",96.30%,"1,296"
APLB,APLB - Glutathione Niacinamide Ampoule Serum,US$ 9.80,"This do-it-all ampoule offers brightening, moisturizing and anti-aging benefits to satisfy all your skin care needs. It’s enriched with 1,000ppm of glutathione and 20,000ppm of niacinamide to revitalize dull skin. Serum contains hyaluronic acid and beta-glucan to deliver a moisture boost, as well as collagen and adenosine to improve skin elasticity. Cica complex in the formula offers a soothing touch.","Water, Centella Asiatica Extract (29.2%), Butylene Glycol, Propanediol, Niacinamide (20,000ppm), Glycerin, Diethoxyethyl Succinate, Panthenol, Sodium Hyaluronate, Allantoin, Glutathione (1,000ppm), Sodium Polyacryloyldimethyl Taurate, Glyceryl Acrylate/Acrylic Acid Copolymer, Nelumbo Nucifera Extract, Artemisia Annua Extract, Oryza Sativa (Rice) Extract, Saccharomyces Ferment, Solanum Melongena (Eggplant) Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Hydrolyzed Collagen, Squalane, Beta-Glucan, Dipropylene Glycol, Hippophae Rhamnoides Fruit Extract, Adenosine, Madecassic Acid, Asiaticoside, Asiatic Acid, Caprylic/Capric Triglyceride, Hydrogenated Lecithin, Glyceryl Stearate, Cholesterol, Styrene/Acrylates Copolymer, Cellulose Gum, Xanthan Gum, Inulin, Cellulose, Glucose, Fructose, Citric Acid, Disodium EDTA, Hydroxyacetophenone, 1,2-Hexanediol, Ethylhexylglycerin, Dipotassium Glycyrrhizate, Sodium Citrate",98%,"1,461"
VT,VT - Reedle Shot All In One 3 Step Mask,US$ 3.46,"VT’s Reedle Shot All In One 3 Step Mask is designed to deliver hydrating and elasticity care deep into skin. Each step contains VT’s CICA REEDLE™ made up of micro-sized mineral-derived particles that mimic microneedling treatments to help ingredients absorb deeper into skin. Step 1 is the Reedle Shot 300, an essence formulated with moisturizing hyaluronic acid and collagen-boosting amino acids. Step 2 is the Reedle Shot Mask, a sheet mask drenched with peptides, panthenol and hyaluronic acid for smooth and hydrated skin. Step 3 is the Reedle Shot Lifting Cream formulated with collagen and elastin to boost skin elasticity and lock in moisture.","[Step 1] Water, Dipropylene Glycol, Glycerin, Niacinamide, Butylene Glycol, Macadamia Ternifolia Seed Oil, 1,2-Hexanediol, Ethylhexyl Palmitate, Silica, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Polyisobutene, Glycereth-26, Ethylhexylglycerin, Caprylyl Glycol, Adenosine, Sodium Polyacrylate, Centella Asiatica Extract, Sodium Hyaluronate, Caprylyl/Capryl Glucoside, Sorbitan Oleate, Xanthan Gum, Propolis Extract, Asiaticoside, Madecassoside, Madecassic Acid, Asiatic Acid, Glycine, Serine, Glutamic Acid, Aspartic Acid, Leucine, Alanine, Lysine, Arginine, Tyrosine, Phenylalanine, Threonine, Proline, Valine, Isoleucine, Histidine, Methionine, Cysteine [Step 2] Water, Butylene Glycol, Cetyl Ethylhexanoate, Glycerin, Niacinamide, Glyceryl Stearate, Dimethicone, PEG-100 Stearate, 1,2-Hexanediol, Polysorbate 60, Betaine, Simmondsia Chinensis (Jojoba) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Butyrospermum Parkii (Shea) Butter, Ammonium Acryloyldimethyltaurate/VP Copolymer, Palmitic Acid, Stearic Acid, Squalane, Tocopheryl Acetate, Allantoin, Caprylyl Glycol, Xylitylglucoside, Adenosine, Ethylhexylglycerin, Xanthan Gum, Anhydroxylitol, Disodium EDTA, Xylitol, Panthenol, Glucose,Centella Asiatica Extract, Silica, Sodium Hyaluronate, Propolis Extract, Polyglyceryl-10 Laurate, Asiaticoside, Madecassoside, Madecassic Acid, Asiatic Acid, Palmitoyl Pentapeptide-4, Palmitoyl Tripeptide-1, Hexapeptide-9, Acetyl Hexapeptide-8, Tripeptide-1, Copper Tripeptide-1 [Step 3] Water, Glycerin, Cetyl Ethylhexanoate, Brassica Campestris (Rapeseed) Sterols, Cholesterol, Phytosteryl/Behenyl/Octyldodecyl Lauroyl Glutamate, Hydrogenated Lecithin, Collagen Extract, Cocos Nucifera (Coconut) Oil, Niacinamide, Macadamia Ternifolia Seed Oil, Squalane, Polyglyceryl-10 Laurate, 1,2-Hexanediol, Panthenol, Human Umbilical Mesenchymal Stem Cell Conditioned Media Extract, Sodium Stearoyl Glutamate, Carbomer, Tromethamine, Sodium Hyaluronate, Adenosine, Hydrolyzed Elastin, Silica, Ethylhexylglycerin, Leuconostoc/Radish Root Ferment Filtrate, Hydrolyzed Hyaluronic Acid, Caprylyl Glycol, Centella Asiatica Extract(0.1ppm), Acetyl Hexapeptide-8, Fragrance",97.20%,134
iUNIK,iUNIK - Centella Calming Gel Cream 60ml,US$ 12.00,"Infused with 72% centella leaf water and 10% tea tree leaf water, this lightweight gel cream soothes and clarifies skin, leaving it refreshed and resilient. Other key ingredients in the calming gel include bergamot fruit oil, broccoli extract, licorice root extract and wheat germ extract, which provide antioxidant and nourishing care as well as brightening effects to treat skin concerns such as blemishes and wrinkles. After toner step in your skin care routine, apply a moderate amount and tap skin to aid absorption. Oil-free and lightweight formula is suitable for various skin types including oily skin and sensitive skin.","Centella Asiatica Leaf Water, Butylene Glycol, Melaleuca Alternifolia (Tea Tree) Leaf Water, Water, 1,2-Hexanediol, Niacinamide, Methyl Trimethicone, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Arginine, Caprylyl Glycol, Dimethicone, Dimethicone/Vinyl Dimethicone Crosspolymer, Centella Asiatica Extract, Allantoin, Melaleuca Alternifolia (Tea Tree) Leaf Extract, Ethylhexylglycerin, Adenosine, Dipotassium Glycyrrhizate, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Pentylene Glycol, Sodium Hyaluronate, Medicago Sativa (Alfalfa) Extract, Brassica oleracea Italica (Broccoli) Extract, Triticum Vulgare (Wheat) Sprout Extract, Brassica Oleracea Capitata (Cabbage) Leaf Extract, Brassica Campestris (Rapeseed) Extract, Raphanus Sativus (Radish) Seed Extract, Aspalathus Linearis Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Commiphora Myrrha Resin Extract, Perilla Frutescens Leaf Extract",96.50%,"9,440"
haruharu wonder,haruharu wonder - Black Rice Bakuchiol Eye Cream,US$ 15.40,"Improve the appearance of wrinkles and fine lines around the eyes using this eye cream formulated with 5,000ppm of bakuchiol and 2,000ppm of moisturizing Korean black rice extract. It also contains bamboo shoot extract to provide antioxidant care. Made with Ultra-Deep Technology™, this formula effectively delivers active ingredients to skin.","Water, Glycerin, Helianthus Annuus (Sunflower) Seed Oil, Caprylic/Capric Triglyceride, Niacinamide, 1,2-Hexanediol, Cetyl Alcohol, Cetearyl Alcohol C14-22 Alcohols, Bakuchiol, Stearyl Alcohol, Carbomer, Cetearyl Glucoside, Tromethamine, Butylene Glycol, Oryza Sativa (Rice) Extract, Cetyl Palmitate, C12-20 Alkyl Glucoside, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Sorbitan Palmitate, Sorbitan Olivate, Polyisobutene, Myristyl alcohol, Phyllostachys Pubescens Shoot Bark Extract, Zanthoxylum, Piperitum Fruit Extract, Usnea Barbata (Lichen) Extract, Pulsatilla Koreana Extract, Aspergillus ferment, Ethylhexylglycerin, Panax Ginseng Root Extract, Cydodextrin, Adenosine, Lauryl Alcohol, Sodium Hyaluronate, Disodium EDTA, Capryly/Capryl Glucoside, Sorbitan Oleate, Glucose, Wheat, Amino Acids, Natto Gum, Pentylene Glycol, Madecassoside",96.90%,"2,337"
medicube,medicube - Triple Collagen Serum 4.0,US$ 17.50,This serum is enriched with Triple Collagen Complex to improve skin suppleness while giving skin a glowy finish. It’s suitable for all skin type including sensitive skin.,"Water, Glycerin, Butylene Glycol, Cetyl Ethylhexanoate, 1,2-Hexanediol, Alcohol Denat, Niacinamide, Glycereth-26, Adenosine, Hydrolyzed Collagen, Hyaluronic Acid, Hydrolyzed Hyaluronic Acid, Sodium Hyaluronate, Soluble Collagen, Collagen Extract, Atelocollagen, Propanediol, Cyclopentasiloxane, Trehalose, Carbomer, Cetearyl Olivate, Tromethamine, Cyclohexasiloxane, Sorbitan Olivate, Ethylhexylglycerin, Disodium EDTA, Dimethicone, Fragrance",96%,253
haruharu wonder,haruharu wonder - Black Rice Probiotics Barrier Essence,US$ 19.60,"This essence is anchored in the brand’s 5 Ceramide Complex and 5 Fatty Acids Complex to boost barrier strength, as well as well phytosterol and cholesterol to firm and hydrate skin. The lightweight formula also includes galactomyces ferment filtrate to boost skin elasticity, as well as antioxidant-rich black rice lees extract to soothe and strengthen skin. Formulated free of potentially irritating ingredients such as GMOs, silicone and alcohol, the essence is dermatologically tested to be suitable for all skin types.","Water, Butylene Glycol, Helianthus Annuus (Sunflower) Seed Oil, Caprylic/Capric Triglyceride, Hydrogenated Polyisobutene, Limnanthes Alba (Meadowfoam) Seed Oil, Butylene Glycol Dicaprylate/Dicaprate, 1,2-Hexanediol, Potassium Cetyl Phosphate, Cetearyl Alcohol, Hydroxyacetophenone, Glycerin, Glyceryl Stearate, Oryza Sativa (Rice) Extract(2,000ppm), Phyllostachys Pubescens Shoot Bark Extract(2,000ppm), Hydrogenated Lecithin, Polyglyceryl-10 Laurate, Polyglyceryl-3 Methylglucose Distearate, Xanthan Gum, Galactomyces Ferment Filtrate (1,000ppm), Panthenol, Bifida Ferment Filtrate(1,000ppm), Aspergillus Ferment, Ethylhexylglycerin, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Ceramide NP, Disodium EDTA, Pentylene Glycol, Tromethamine, Butyrospermum Parkii (Shea) Butter, Phytosterols, Oryza Sativa (Rice) Lees Extract(100ppm), Panax Ginseng Root Extract, Stearic Acid, Palmitic Acid, Caprylyl Glycol, Squalane, Hydrolyzed Wheat Protein, Cyclodextrin, Arachidic Acid, Myristic Acid, Oleic Acid, Ceramide NS, Phytosphingosine, Cholesterol, Ceramide AS, Ceramide AP, Ceramide EOP",96.90%,294
